date,close,volume,open,high,low
8/1/2018,165.759995,17942600,165.699997,166.240005,164.5
8/2/2018,166.970001,18292200,164.960007,167.210007,164.940002
8/3/2018,166.389999,21734900,167.149994,167.679993,165.610001
8/6/2018,167.320007,16288800,166.270004,167.509995,165.899994
8/7/2018,167.720001,15045700,167.889999,168.490005,167.600006
8/8/2018,167.570007,14789500,167.720001,167.990005,166.490005
8/9/2018,168,10436600,167.649994,168.710007,167.550003
8/10/2018,167.529999,20521900,167.050003,168.669998,166.960007
8/13/2018,166.550003,20517200,167.740005,168.050003,165.880005
8/14/2018,168.199997,17683100,166.910004,168.600006,166.889999
8/15/2018,166.089996,27479900,167.699997,167.820007,165.149994
8/16/2018,167.630005,15484700,166.860001,168.169998,166.690002
8/17/2018,168.350006,15106700,167.470001,168.470001,166.929993
8/20/2018,168.820007,12547300,168.809998,169.179993,167.830002
8/21/2018,170.759995,20661200,169.139999,171.360001,169.119995
8/22/2018,171.179993,14329200,170.589996,171.490005,170.419998
8/23/2018,170.660004,12945800,171.089996,171.520004,170.179993
8/24/2018,171.589996,11894300,171.149994,171.779999,171.020004
8/27/2018,171.839996,15880400,172.110001,172.940002,171.619995
8/28/2018,172,13170300,172.160004,172.479996,171.100006
8/29/2018,172.5,13157900,172.020004,172.770004,171.460007
8/30/2018,172.360001,14199600,172.169998,173.229996,171.820007
8/31/2018,173.020004,12240500,171.960007,173.389999,171.949997
9/4/2018,172.25,17923500,172.789993,173.119995,171.119995
9/5/2018,171.789993,15166100,172.179993,172.229996,170.360001
9/6/2018,170.630005,16647700,172.169998,172.479996,170.419998
9/7/2018,170.539993,17248000,170.210007,171.449997,169.660004
9/10/2018,170.75,11067100,171.25,171.679993,170.389999
9/11/2018,171.029999,14078400,170.600006,171.600006,170
9/12/2018,170.619995,21572300,170.789993,171.089996,169.330002
9/13/2018,170.660004,14570500,171.279999,171.539993,170.259995
9/14/2018,171.380005,15734900,170.770004,171.929993,170.399994
9/17/2018,169.559998,20023200,171.419998,171.539993,169.350006
9/18/2018,170.270004,13018000,169.800003,170.710007,169.630005
9/19/2018,169.649994,17593500,170.279999,171.070007,169.070007
9/20/2018,171.220001,16918700,170.369995,171.300003,169.809998
9/21/2018,170.399994,32539000,171.75,171.820007,170.220001
9/24/2018,169.770004,15786700,170.259995,170.5,168.759995
9/25/2018,170.029999,13758500,170.050003,170.520004,169.850006
9/26/2018,168.029999,17787200,169.929993,170.029999,167.779999
9/27/2018,168.039993,14471900,168.369995,168.699997,167.759995
9/28/2018,168.550003,22740300,167.449997,169,167.449997
10/1/2018,166.330002,27893100,169.289993,169.320007,165.770004
10/2/2018,164.529999,28440300,166.179993,166.529999,164.179993
10/3/2018,165.970001,26027200,165.179993,166.729996,164.509995
10/4/2018,163.639999,29463000,165.440002,165.649994,163.130005
10/5/2018,162.160004,31240100,163.75,164.160004,160.660004
10/8/2018,161.820007,21330700,161.770004,162.399994,160.550003
10/9/2018,161.190002,20620400,161.619995,162.740005,160.979996
10/10/2018,156.559998,46921800,160.820007,160.990005,156.360001
10/11/2018,153.570007,68877400,155.809998,157.320007,153.509995
10/12/2018,153.600006,53492600,155.559998,155.759995,151.889999
10/15/2018,154.169998,32747600,153.360001,155.289993,152.539993
10/16/2018,158.639999,35569100,155.279999,158.860001,154.039993
10/17/2018,157.960007,24140100,158.179993,158.220001,155.889999
10/18/2018,155,31042700,157.410004,157.630005,154.369995
10/19/2018,153.360001,34214200,155.470001,156.360001,152.740005
10/22/2018,153.029999,28218300,153.919998,154.449997,152.520004
10/23/2018,151.660004,37228100,150.929993,152.889999,148.919998
10/24/2018,145.949997,40412400,151.429993,151.979996,145.820007
10/25/2018,149.110001,32311300,146.729996,149.820007,146.410004
10/26/2018,147.479996,36986100,147.539993,149.419998,144.699997
10/29/2018,146.669998,33031300,149.130005,150.630005,145.070007
10/30/2018,149.729996,29017200,146.850006,149.889999,146.559998
10/31/2018,150.029999,36785400,151.259995,151.860001,150.029999
11/1/2018,153.490005,28496400,150.889999,153.770004,150.809998
11/2/2018,154,26671600,154.059998,154.889999,152.440002
11/5/2018,153.880005,16940900,154.039993,154.660004,152.350006
11/6/2018,154.639999,15572900,153.649994,155.110001,153.520004
11/7/2018,157.410004,22127800,155.360001,157.410004,154.800003
11/8/2018,156.990005,14987700,156.610001,157.899994,156.339996
